region;rmse_test
Алтайский край;1.007952013020188
Белгородская область;1.4738380020578472
Волгоградская область;1.1874332558380547
Воронежская область;0.8510586139097277
Кабардино-Балкарская Республика;4.201025720385835
Карачаево-Черкесская Республика;2.4915896075332142
Краснодарский край;2.809480056327208
Красноярский край;3.781344596797809
Курганская область;2.036755283108308
Курская область;1.700111529270198
Липецкая область;1.055958353010609
Нижегородская область;7.383282429113201
Новосибирская область;1.3596792554009092
Омская область;1.9087975132807404
Оренбургская область;1.20660851159728
Орловская область;1.255115590041538
Пензенская область;1.2283113020123566
Приморский край;2.581934525461162
Республика Адыгея;2.1868238505443864
Республика Башкортостан;1.1992573778340225
Республика Ингушетия;5.563646282870087
Республика Калмыкия;2.3810992630657797
Республика Крым;1.098833231238101
Республика Мордовия;3.139594970767172
Республика Северная Осетия - Алания;3.890534337466378
Республика Татарстан;2.5154513713767224
Ростовская область;2.278388057419753
Рязанская область;2.9845459747470806
Самарская область;0.7582993989544263
Саратовская область;1.5033441149044402
Тамбовская область;1.1352031790186285
Тульская область;3.3985315924728443
Ульяновская область;1.15903338733288
Челябинская область;1.6216497356602368
Чеченская Республика;3.6296628888204765
Чувашская Республика;1.9171918391613778
Амурская область;2.13142294751913
Кемеровская область;4.329469495856386
Удмуртская Республика;1.4303748529746572
Ставропольский край;1.147100795977675
