region;rmse_test
Алтайский край;1.7953041671943024
Белгородская область;1.6417133658731755
Волгоградская область;1.3711019952030237
Воронежская область;1.2945940422457185
Кабардино-Балкарская Республика;3.038824625003865
Карачаево-Черкесская Республика;2.2373168987602665
Краснодарский край;3.4008165537600004
Красноярский край;2.639025752536845
Курганская область;1.5657718767933129
Курская область;1.4404338260811596
Липецкая область;1.7723743979947346
Нижегородская область;4.703033367713286
Новосибирская область;0.9708706869431819
Омская область;2.0336670466349247
Оренбургская область;0.9444858593294199
Орловская область;2.234293365006599
Пензенская область;1.5652189285919027
Приморский край;1.9910056821249487
Республика Адыгея;4.1796938726226776
Республика Башкортостан;1.3430612036540075
Республика Ингушетия;1.4752276576495549
Республика Калмыкия;2.697878569615131
Республика Крым;0.9710522353948866
Республика Мордовия;0.733787964870375
Республика Северная Осетия - Алания;0.49864291433383356
Республика Татарстан;2.5059570891774605
Ростовская область;2.0956322804327145
Рязанская область;1.9833129673204852
Самарская область;0.8986662665636891
Саратовская область;1.397669212428469
Тамбовская область;1.1739156339897006
Тульская область;2.3059087783062604
Ульяновская область;1.5093495192621769
Челябинская область;1.6552376348231126
Чеченская Республика;6.693948802472791
Чувашская Республика;3.264572331096809
Амурская область;1.916128087030536
Кемеровская область;4.891030473519871
Удмуртская Республика;1.5345399577628425
Ставропольский край;1.5904113621357454
