region;rmse_test
Алтайский край;1.205395407127274
Белгородская область;1.6767896433607443
Волгоградская область;1.2235228124815811
Воронежская область;0.8535575016894088
Кабардино-Балкарская Республика;4.427179581539079
Карачаево-Черкесская Республика;2.3124789832011423
Краснодарский край;2.937275835051628
Красноярский край;3.8932379870150293
Курганская область;2.1262526404512294
Курская область;1.6131028639733926
Липецкая область;1.2898970574296973
Нижегородская область;8.790714848110605
Новосибирская область;1.5527862587738681
Омская область;1.9580482357048756
Оренбургская область;0.8025763627188415
Орловская область;1.3063855695413282
Пензенская область;1.4107701555524057
Приморский край;0.5231282422807063
Республика Адыгея;2.2490194258133065
Республика Башкортостан;1.265069294465407
Республика Ингушетия;6.955400687700084
Республика Калмыкия;2.404758039146386
Республика Крым;1.0434726950552988
Республика Мордовия;2.8456286530413815
Республика Северная Осетия - Алания;3.659937599102786
Республика Татарстан;2.761572305431105
Ростовская область;2.3199532723782985
Рязанская область;2.7883891193496444
Самарская область;0.9926825200038637
Саратовская область;1.9998097347064305
Тамбовская область;1.2922230807948945
Тульская область;2.9067681067904045
Ульяновская область;1.1938754368028233
Челябинская область;1.7102640509936853
Чеченская Республика;2.9316452996865574
Чувашская Республика;2.14802073882616
Амурская область;2.0228469001757814
Кемеровская область;4.354277433221296
Удмуртская Республика;0.08005215676293109
Ставропольский край;1.0862935657329276
