region;rmse_test
Алтайский край;1.8615225485280698
Белгородская область;1.5209254056622223
Волгоградская область;1.3255982311986685
Воронежская область;1.1071481220146837
Кабардино-Балкарская Республика;3.589218244467494
Карачаево-Черкесская Республика;1.7981854784722022
Краснодарский край;3.0976764209168715
Красноярский край;2.7091215036528054
Курганская область;1.749612712691391
Курская область;1.5107133800395258
Липецкая область;1.6865905085610124
Нижегородская область;4.4697974788265995
Новосибирская область;1.0606003531496093
Омская область;1.7375717679286031
Оренбургская область;0.9978898211950212
Орловская область;2.1984651834584
Пензенская область;1.2852909155333554
Приморский край;1.5760102998705796
Республика Адыгея;4.017452941358377
Республика Башкортостан;1.0709674844306931
Республика Ингушетия;1.099229177140927
Республика Калмыкия;2.7998443750801028
Республика Крым;1.0926395882629816
Республика Мордовия;1.2982389496800029
Республика Северная Осетия - Алания;0.47121822859429996
Республика Татарстан;2.4764222874012516
Ростовская область;2.0150148063246114
Рязанская область;2.042708825492064
Самарская область;0.8776184555222268
Саратовская область;1.3547926532206935
Тамбовская область;1.405455105269193
Тульская область;3.323966408029054
Ульяновская область;1.385964618995517
Челябинская область;1.8975752027240091
Чеченская Республика;5.912915885863013
Чувашская Республика;2.096114674378185
Амурская область;2.2624080983233106
Кемеровская область;4.8187984551158936
Удмуртская Республика;0.6960112517548465
Ставропольский край;1.2654772247546124
